Date,BTC,ETH,DOGE,DOT
2021-01-06 00:00:00 UTC,34082.20605,1103.358252,0.009841172,9.739198196
2021-01-07 00:00:00 UTC,36933.52014,1208.575093,0.010463465,10.09768441
2021-01-08 00:00:00 UTC,39547.08408,1229.471315,0.009776329,9.64613218
2021-01-09 00:00:00 UTC,40815.96185,1223.729688,0.009888197,9.314730658
2021-01-10 00:00:00 UTC,40296.529,1282.979576,0.01021948,9.77841081
2021-01-11 00:00:00 UTC,38397.89599,1267.731003,0.009881088,9.3294102
2021-01-12 00:00:00 UTC,35669.90669,1092.914338,0.008856219,8.288132976
2021-01-13 00:00:00 UTC,33938.33588,1045.406815,0.008067137,8.263019571
2021-01-14 00:00:00 UTC,37456.00773,1132.015591,0.008650341,11.02499585
2021-01-15 00:00:00 UTC,39232.74997,1216.914788,0.009467234,14.38916682
2021-01-16 00:00:00 UTC,36787.52122,1171.860018,0.009326414,13.19743065
2021-01-17 00:00:00 UTC,36254.71308,1234.63187,0.009264962,18.28496809
2021-01-18 00:00:00 UTC,35804.26389,1229.379698,0.009027603,16.94118066
2021-01-19 00:00:00 UTC,36595.46477,1255.976692,0.009161625,16.41705996
2021-01-20 00:00:00 UTC,36104.86386,1383.48409,0.009053031,16.50037949
2021-01-21 00:00:00 UTC,35587.4892,1385.852996,0.00904623,17.97098869
2021-01-22 00:00:00 UTC,30913.69574,1122.912433,0.008160318,16.00330471
2021-01-23 00:00:00 UTC,32957.90878,1236.683443,0.008516843,17.15345552
2021-01-24 00:00:00 UTC,32068.08737,1231.17638,0.008574718,18.60031905
2021-01-25 00:00:00 UTC,32273.51735,1392.539763,0.008729032,17.99637973
2021-01-26 00:00:00 UTC,32375.32006,1323.429503,0.00837359,17.25529468
2021-01-27 00:00:00 UTC,32582.10945,1355.233724,0.008276932,17.1142192
2021-01-28 00:00:00 UTC,30445.52587,1253.141672,0.007437339,15.45807634
2021-01-29 00:00:00 UTC,33128.34753,1328.773619,0.032642559,16.95358991
2021-01-30 00:00:00 UTC,34150.81877,1380.284259,0.047350481,16.81322132
2021-01-31 00:00:00 UTC,34199.51981,1372.427229,0.028517121,16.43680232
2021-02-01 00:00:00 UTC,33064.78677,1317.047436,0.037988792,16.1434548
2021-02-02 00:00:00 UTC,33405.99036,1368.664455,0.03458624,16.33446823
2021-02-03 00:00:00 UTC,35485.98593,1514.225196,0.031623262,17.24620888
2021-02-04 00:00:00 UTC,37494.71762,1661.000824,0.037379014,20.8112399
2021-02-05 00:00:00 UTC,36816.50808,1587.800899,0.054284972,19.68785629
2021-02-06 00:00:00 UTC,38007.83223,1724.856908,0.04706214,20.915525
2021-02-07 00:00:00 UTC,39279.41287,1683.941298,0.057875695,20.39856666
2021-02-08 00:00:00 UTC,38833.34026,1608.640548,0.079084665,19.68671621
2021-02-09 00:00:00 UTC,46307.57412,1750.997554,0.079227056,23.1048524
2021-02-10 00:00:00 UTC,46569.56483,1769.053534,0.06997689,23.17717409
2021-02-11 00:00:00 UTC,44848.69345,1739.164209,0.072987058,23.53318789
2021-02-12 00:00:00 UTC,47815.96176,1782.508869,0.069754701,25.11602681
2021-02-13 00:00:00 UTC,47414.18626,1841.197751,0.069474659,28.63712101
2021-02-14 00:00:00 UTC,46941.29209,1810.842546,0.066873675,27.94763481
2021-02-15 00:00:00 UTC,48607.87452,1804.984146,0.062034346,27.05294974
2021-02-16 00:00:00 UTC,47898.48703,1775.758352,0.056911821,27.6866232
2021-02-17 00:00:00 UTC,49238.13691,1782.575309,0.054079792,30.19801883
2021-02-18 00:00:00 UTC,52143.67884,1845.573922,0.049137409,31.93217512
2021-02-19 00:00:00 UTC,51733.07554,1938.569437,0.060186169,31.16279214
2021-02-20 00:00:00 UTC,56038.72776,1969.979718,0.055498778,35.02642928
2021-02-21 00:00:00 UTC,56377.63348,1929.367693,0.055134667,39.37357824
2021-02-22 00:00:00 UTC,57669.30353,1941.426768,0.056612481,39.72219747
2021-02-23 00:00:00 UTC,54410.85629,1788.61521,0.053531953,37.81780682
2021-02-24 00:00:00 UTC,48691.89483,1563.924606,0.047499554,34.39389978
2021-02-25 00:00:00 UTC,49849.37871,1628.391534,0.057061548,33.72870168
2021-02-26 00:00:00 UTC,46992.66545,1468.860104,0.050216802,31.18993529
2021-02-27 00:00:00 UTC,46551.48748,1450.988747,0.05054394,31.37467691
2021-02-28 00:00:00 UTC,46653.5264,1480.129577,0.050866474,33.80412765
2021-03-01 00:00:00 UTC,44970.16346,1416.661553,0.048235673,33.45316332
2021-03-02 00:00:00 UTC,49787.33996,1570.39969,0.051020626,35.57292382
2021-03-03 00:00:00 UTC,48532.23679,1497.089104,0.05056754,36.27341265
